Unnamed: 0,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time,previous_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.614995932802564,45,44,90,0.0,1.0,0.0,0.0,64.85521436932105,0.2989443999999821,0.4521978999998737,unlimited_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.090541579458501,46,45,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2998170999999274,0.5502582000001439,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.700466130259649,47,46,90,0.0,1.0,0.0,0.0,64.85521436932105,0.3336832999998478,0.6163704000000507,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.25253437280118,48,47,90,0.0,1.0,0.0,0.0,64.85521436932105,0.2667054000000917,0.365329999999858,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.459602524540468,49,48,90,0.0,0.0,0.0,1.0,64.85521436932105,0.2678586000001814,0.4332393999998203,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.205506657539177,50,49,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2679439000000911,0.3832033999999567,unlimited_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.319729890948858,51,50,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2348667000001114,0.4652125999998588,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.9495762397528775,52,51,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2327984000000924,0.4162467000001015,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.70225170205265,53,52,90,0.0,1.0,0.0,0.0,64.85521436932105,0.2328324000000066,0.4502124999999068,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.321296367447957,54,53,90,0.0,0.0,1.0,0.0,64.85521436932105,0.249860400000216,0.5002038000000084,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.15017261824864,55,54,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2488386999998511,0.4511949000000186,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.083588055894286,56,55,90,0.0,0.0,0.0,1.0,64.85521436932105,0.2507170999999744,0.6323296000000482,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.15289508285309,57,56,90,0.0,0.0,0.0,1.0,64.85521436932105,0.2498660000001109,0.4331683999998859,unlimited_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.79771645417801,58,57,90,0.0,1.0,0.0,0.0,64.85521436932105,0.2498244000000795,0.4502286000001732,unlimited_uncertainty
