,condition,trial,sub_task,x,y,xt,yt,cat,resp,rt,acc,correct_resp
117,2F4K,118,1,38.43179671731119,52.731876633956325,1.1118436301745231,54.764382303713305,1,c,1.5405697999999575,correct,c
118,2F4K,119,2,43.94599267399501,53.88939339194242,1.246929397243827,55.7543091199361,2,b,2.1488342000002376,correct,b
119,2F4K,120,2,33.10217921451584,46.44292489725553,0.9952048189942132,49.264258548917,2,b,0.9942077000000609,correct,b
120,2F4K,121,2,28.760453513015683,41.03804823766366,0.9092907648464634,44.45877246813754,2,b,0.8908304000001408,correct,b
121,2F4K,122,1,57.11887601619722,46.463845543818486,1.6398527569558874,49.282793789334605,2,n,1.309848200000033,correct,n
122,2F4K,123,2,55.64776384631195,32.666592854378855,1.5904476824271785,37.11938969552018,1,v,1.3584115000003294,correct,v
123,2F4K,124,1,43.09446305163941,53.02316578270628,1.2250442751212998,55.01432544060823,1,n,0.7271473000000697,incorrect,c
124,2F4K,125,1,51.97258843149578,34.40925162961738,1.473429112173144,38.62206176837972,2,c,1.3887167999996564,incorrect,n
125,2F4K,126,2,43.75070085423706,53.12789269979609,1.241875910859999,55.10405440007907,2,b,1.054895000000215,correct,b
126,2F4K,127,1,56.41221962695033,49.22861052209246,1.6159321114038063,51.72114656860499,2,n,1.1817126000000826,correct,n
127,2F4K,128,2,59.907458717932506,37.87617621979079,1.7377538744690997,41.656871388885136,1,v,0.6899435999998786,correct,v
128,2F4K,129,2,51.69449519786364,41.49755777659402,1.464933175369053,44.867422319194254,1,v,3.071211200000107,correct,v
129,2F4K,130,1,39.52282725675655,48.36688107727406,1.137356724997188,50.96386742147816,1,c,1.291595099999995,correct,c
130,2F4K,131,1,43.581705994554085,37.868035717096674,1.2375194326186332,41.64969020994732,2,c,0.7326582000000599,incorrect,n
131,2F4K,132,1,63.91699338177646,78.10542083173223,1.8888521792443853,73.0088395668682,1,c,0.6668742000001657,correct,c
132,2F4K,133,1,37.680970445789285,52.20581566645519,1.094619234994903,54.311654472685134,1,n,0.9578105000000505,incorrect,c
133,2F4K,134,1,36.52073549429294,47.32254922632428,1.0685260384423874,50.042644334084926,1,n,2.227694899999733,incorrect,c
134,2F4K,135,1,58.29596989943276,41.621809917455245,1.680486667757417,44.97795624262083,2,n,1.322394599999825,correct,n
135,2F4K,136,1,56.948897738392986,71.66828746337356,1.634066766772596,69.24976585928802,1,n,3.313151800000014,incorrect,c
136,2F4K,137,2,46.277641137062965,58.82788338132619,1.3088767331194056,59.86137129708271,2,b,1.4190588000001298,correct,b
