cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,phase,trial,cycle,target_angle,instruct_phase,instruct_state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,220,18,150,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,221,18,120,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,222,18,45,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,223,18,90,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,224,18,15,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,225,18,75,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,226,18,60,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,227,18,30,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,228,18,165,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,229,19,60,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,230,19,135,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,231,19,105,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,232,19,150,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,233,19,30,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,234,19,90,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,235,19,165,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,236,19,45,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,237,19,0,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,238,19,15,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,239,19,120,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,240,19,75,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,241,20,135,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,242,20,90,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,243,20,75,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,244,20,15,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,245,20,45,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,246,20,60,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,247,20,165,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,248,20,150,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,249,20,30,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,250,20,0,,1.0
